+------------------------------+-----------+
|             Term             | Frequency |
+------------------------------+-----------+
|             cacm             |    3204   |
|              jb              |    3001   |
|              pm              |    2221   |
|            march             |    1831   |
|          algorithm           |    1614   |
|           computer           |    1208   |
|            system            |    1203   |
|           february           |    1011   |
|             data             |    949    |
|           january            |    934    |
|           program            |    836    |
|         programming          |    790    |
|             time             |    778    |
|           language           |    774    |
|            method            |    722    |
|           systems            |    717    |
|           problem            |    524    |
|            paper             |    515    |
|           storage            |    500    |
|         information          |    500    |
|            number            |    466    |
|           analysis           |    460    |
|           programs           |    451    |
|          processing          |    440    |
|          presented           |    434    |
|            memory            |    405    |
|           december           |    377    |
|          algorithms          |    377    |
|             set              |    360    |
|            design            |    355    |
|           function           |    341    |
|           problems           |    330    |
|          discussed           |    311    |
|            august            |    308    |
|          structure           |    304    |
|             june             |    304    |
|            april             |    302    |
|             july             |    300    |
|          languages           |    296    |
|           methods            |    289    |
|            model             |    285    |
|           november           |    278    |
|          functions           |    273    |
|            matrix            |    272    |
|           general            |    272    |
|           control            |    271    |
|           october            |    267    |
|          technique           |    266    |
|           results            |    261    |
|             list             |    259    |
|          techniques          |    258    |
|           machine            |    254    |
|          september           |    252    |
|            linear            |    245    |
|          retrieval           |    244    |
|           solution           |    243    |
|            error             |    243    |
|            shown             |    233    |
|          simulation          |    230    |
|          equations           |    222    |
|            based             |    217    |
|          structures          |    216    |
|          procedure           |    216    |
|            search            |    215    |
|           fortran            |    212    |
|         performance          |    211    |
|          operating           |    207    |
|          allocation          |    207    |
|            large             |    206    |
|             code             |    201    |
|        implementation        |    199    |
|            simple            |    196    |
|          automatic           |    196    |
|          computing           |    195    |
|            algol             |    195    |
|            input             |    190    |
|          numerical           |    188    |
|          procedures          |    185    |
|            order             |    181    |
|          computers           |    181    |
|           process            |    178    |
|             tree             |    177    |
|            random            |    177    |
|            level             |    177    |
|           decision           |    175    |
|           compiler           |    174    |
|           standard           |    173    |
|           sharing            |    173    |
|          developed           |    170    |
|             user             |    168    |
|           proposed           |    167    |
|            point             |    164    |
|          scheduling          |    162    |
|          efficient           |    159    |
|          arithmetic          |    158    |
|             real             |    157    |
|          operations          |    155    |
|         integration          |    155    |
|            space             |    154    |
|           digital            |    154    |
|          evaluation          |    153    |
|            binary            |    153    |
|            table             |    150    |
|          management          |    149    |
|         computation          |    149    |
|             form             |    148    |
|         distribution         |    148    |
|           complex            |    148    |
|           parallel           |    147    |
|             line             |    147    |
|            tables            |    144    |
|         application          |    144    |
|           network            |    143    |
|          variables           |    141    |
|           optimal            |    140    |
|           science            |    139    |
|           software           |    138    |
|             made             |    138    |
|           required           |    137    |
|         applications         |    136    |
|           sorting            |    135    |
|            basic             |    132    |
